This function calculates N(6, 3, p).

Parameters: #simulations = 100.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.
Processor time: 3.037.

p, N(p), SD, size.

0.05, 7.5, 4.88979, 70
0.06, 17.37, 41.8812, 70
0.07, 31.19, 57.6548, 70
0.08, 99.25, 101.96, 70
0.09, 136.03, 83.2681, 70
0.1, 150.59, 37.3931, 70
0.11, 123.25, 28.9535, 70
0.12, 101.53, 21.4105, 70
0.13, 78.31, 13.4296, 70
0.14, 67.09, 13.7485, 70
0.15, 56.47, 8.34321, 70
0.16, 49.98, 8.14491, 70
0.17, 44.82, 8.48337, 70
0.18, 38.39, 7.48317, 70
0.19, 35.04, 5.92101, 70
0.2, 31.22, 5.21647, 70
0.21, 29.54, 5.30362, 70
0.22, 26.74, 5.09631, 70
0.23, 25.06, 4.43581, 70
0.24, 23.23, 3.92136, 70
0.25, 21.26, 3.35148, 70
0.26, 19.62, 3.10735, 70
0.27, 19.06, 3.55196, 70
0.28, 17.38, 2.59915, 70
0.29, 16.86, 2.58465, 70
0.3, 15.85, 2.46729, 70
0.31, 15.35, 3.03768, 70
0.32, 14.14, 2.37916, 70
0.33, 13.97, 2.71092, 70
0.34, 13.03, 2.13286, 70

Processor time: 3.753.

p, N(p), SD, size.

0.05, 8.65, 4.40085, 75
0.06, 12.53, 6.78595, 75
0.07, 37.5, 65.7913, 75
0.08, 95.21, 103.185, 75
0.09, 155.91, 81.2835, 75
0.1, 154.47, 46.6687, 75
0.11, 125.15, 22.2622, 75
0.12, 101.46, 18.4399, 75
0.13, 80.9, 15.871, 75
0.14, 68.55, 11.9703, 75
0.15, 57.28, 10.2539, 75
0.16, 49.82, 8.95922, 75
0.17, 43.66, 8.74668, 75
0.18, 39.58, 6.92269, 75
0.19, 36.42, 7.14448, 75
0.2, 32.5, 5.2811, 75
0.21, 29.03, 4.63348, 75
0.22, 26.99, 4.64649, 75
0.23, 24.73, 3.77586, 75
0.24, 23.95, 4.36434, 75
0.25, 22, 3.90128, 75
0.26, 19.82, 3.0377, 75
0.27, 19.09, 3.52731, 75
