This function calculates N(6, 3, p).

Parameters: #simulations = 10000.
p from 0.05 to 0.15 step 0.005.

p, N(p), SD, #percolation, size.
0.105, 161.967, 19.8689, 10000, 185
0.11, 140.031, 16.3723, 10000, 185
0.115, 122.643, 14.0567, 10000, 185
0.12, 108.96, 12.4231, 10000, 185
0.125, 97.7968, 11.0997, 10000, 185
0.13, 88.5866, 10.0411, 10000, 185
0.135, 80.8487, 9.29662, 10000, 185
0.14, 74.2482, 8.38302, 10000, 185
0.145, 68.4753, 7.73386, 10000, 185
0.05, 31.6246, 79.7514, 35, 190
0.055, 72.7735, 204.847, 300, 190
0.06, 215.795, 388.01, 1558, 190
0.065, 507.018, 473.993, 4780, 190
0.07, 727.3, 294.266, 8665, 190
0.075, 628.312, 133.915, 9920, 190
0.08, 469.201, 80.8581, 10000, 190
0.085, 357.123, 55.5006, 10000, 190
0.09, 281.635, 40.1503, 10000, 190
0.095, 229.107, 30.5426, 10000, 190
0.1, 190.74, 24.0778, 10000, 190
0.105, 161.704, 19.6214, 10000, 190
0.11, 140.447, 16.5658, 10000, 190
0.115, 123.007, 14.1896, 10000, 190
0.12, 109.005, 12.2505, 10000, 190
0.125, 97.9724, 11.0433, 10000, 190
0.13, 88.6207, 9.90377, 10000, 190
0.135, 80.8364, 8.98129, 10000, 190
0.14, 74.1373, 8.25853, 10000, 190
0.145, 68.5702, 7.76884, 10000, 190
0.05, 33.776, 93.5893, 49, 195
0.055, 80.1374, 224.534, 347, 195
0.06, 230.064, 405.598, 1648, 195
0.065, 543.389, 484.299, 5071, 195
0.07, 749.144, 291.282, 8785, 195
0.075, 630.856, 132.705, 9927, 195
0.08, 470.882, 80.4412, 10000, 195
0.085, 357.135, 54.8904, 10000, 195
0.09, 282.581, 39.7895, 10000, 195
0.095, 229.194, 30.1624, 10000, 195
0.1, 191.252, 24.0616, 10000, 195
0.105, 162.484, 19.6152, 10000, 195
0.11, 140.377, 16.335, 10000, 195
0.115, 122.832, 14.1518, 10000, 195
0.12, 109.221, 12.4063, 10000, 195
0.125, 98.0017, 10.991, 10000, 195
0.13, 88.9091, 9.86075, 10000, 195
0.135, 81.0365, 9.16058, 10000, 195
0.14, 74.5841, 8.42192, 10000, 195
0.145, 68.7242, 7.7479, 10000, 195
0.05, 31.7413, 76.6007, 30, 200
0.055, 78.7353, 221.588, 324, 200
0.06, 250.385, 428.594, 1791, 200
0.065, 574.116, 494.318, 5280, 200
0.07, 768.826, 283.733, 8934, 200
0.075, 637.729, 129.281, 9954, 200
0.08, 472.109, 80.1428, 10000, 200
0.085, 359.422, 55.0307, 10000, 200
0.09, 282.717, 39.7333, 10000, 200
0.095, 230.027, 29.8944, 10000, 200
0.1, 191.705, 24.0461, 10000, 200
0.105, 162.583, 19.5936, 10000, 200
0.11, 141.073, 16.4396, 10000, 200
0.115, 123.208, 14.103, 10000, 200
0.12, 109.428, 12.3607, 10000, 200
0.125, 98.2405, 10.9296, 10000, 200
0.13, 89.0339, 9.87815, 10000, 200
0.135, 81.0305, 9.02326, 10000, 200
0.14, 74.4901, 8.30317, 10000, 200
0.145, 68.8283, 7.76523, 10000, 200

Processor time: 379629.

Wall time: 379633s.
