This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.
0.112, 137.148, 16.2061, 410
0.113, 133.559, 16.0236, 410
0.114, 129.621, 15.5813, 410
0.115, 126.676, 15.7131, 410
0.116, 123.761, 15.5845, 410
0.117, 119.996, 14.5375, 410
0.118, 117.911, 14.1398, 410
0.119, 115.206, 13.8289, 410
0.12, 112.355, 13.3164, 410
0.121, 109.209, 12.8436, 410
0.122, 106.964, 12.2525, 410
0.123, 105.023, 12.1733, 410
0.124, 102.505, 11.6225, 410
0.125, 100.338, 11.7801, 410
0.126, 98.585, 11.2741, 410
0.127, 95.874, 10.7061, 410
0.128, 94.408, 10.6629, 410
0.129, 91.694, 10.6661, 410
0.13, 90.313, 10.4084, 410
0.131, 88.972, 10.202, 410
0.132, 87.351, 10.1816, 410
0.133, 85.698, 9.74725, 410
0.134, 83.904, 9.47116, 410
0.135, 82.256, 9.37211, 410
0.136, 81.049, 9.15765, 410
0.137, 79.248, 8.6891, 410
0.138, 78.652, 9.29736, 410
0.139, 76.749, 8.36911, 410
0.14, 75.749, 8.60198, 410
0.141, 74.525, 8.63292, 410
0.142, 72.844, 7.94592, 410
0.143, 71.996, 7.96718, 410
0.144, 70.563, 8.1201, 410
0.145, 69.704, 8.304, 410
0.146, 68.484, 7.51251, 410
0.147, 67.441, 7.54298, 410
0.148, 66.256, 7.26102, 410
0.149, 65.972, 7.46131, 410
0, 0, 0, 415
0.001, 0.008, 0.126238, 415
0.002, 0.063, 0.333213, 415
0.003, 0.145, 0.493938, 415
0.004, 0.355, 0.785478, 415
0.005, 0.595, 0.923566, 415
0.006, 0.961, 1.11062, 415
0.007, 1.342, 1.13448, 415
0.008, 1.709, 1.15599, 415
0.009, 2.05, 1.11333, 415
0.01, 2.377, 1.30033, 415
0.011, 2.699, 1.39657, 415
0.012, 2.87, 1.36861, 415
0.013, 3.302, 1.59712, 415
0.014, 3.56, 1.72522, 415
0.015, 3.968, 1.79024, 415
0.016, 4.406, 1.86311, 415
0.017, 4.757, 1.96874, 415
0.018, 5.151, 1.97489, 415
0.019, 5.512, 2.04153, 415
0.02, 6.025, 2.36397, 415
0.021, 6.311, 2.36691, 415
0.022, 6.494, 2.36389, 415
0.023, 6.939, 2.41107, 415
0.024, 7.543, 2.88516, 415
0.025, 7.966, 2.98912, 415
0.026, 8.387, 3.29351, 415
0.027, 8.797, 3.22146, 415
0.028, 9.278, 3.46016, 415
0.029, 9.811, 3.52098, 415
0.03, 10.199, 3.60297, 415
0.031, 10.909, 3.92361, 415
0.032, 11.416, 3.86354, 415
0.033, 11.899, 4.2191, 415
0.034, 12.548, 4.56505, 415
0.035, 13.572, 5.08771, 415
0.036, 14.091, 5.35619, 415
0.037, 14.574, 5.50241, 415
0.038, 15.315, 6.12322, 415
0.039, 16.479, 7.08051, 415
0.04, 17.294, 7.66078, 415
0.041, 18.19, 8.18681, 415
0.042, 18.968, 7.38234, 415
0.043, 20.359, 9.19163, 415
0.044, 21.828, 13.9343, 415
0.045, 22.8, 11.7445, 415
0.046, 24.019, 11.9602, 415
0.047, 26.143, 17.3205, 415
0.048, 28.75, 50.2693, 415
0.049, 37.323, 113.014, 415
0.05, 41.442, 135.553, 415
0.051, 58.982, 208.844, 415
0.052, 53.45, 170.916, 415
0.053, 78.402, 251.69, 415
0.054, 121.6, 351.38, 415
0.055, 129.691, 355.033, 415
0.056, 138.311, 367.625, 415
0.057, 208.667, 467.605, 415
0.058, 237.195, 501.925, 415
0.059, 326.904, 585.965, 415
0.06, 417.375, 632.922, 415
0.061, 500.86, 666.52, 415
0.062, 595.717, 673.208, 415
0.063, 708.129, 680.026, 415
0.064, 836.961, 643.299, 415
0.065, 865.228, 607.462, 415
0.066, 952.3, 543.514, 415
0.067, 1006.06, 464.955, 415
0.068, 1011, 391.977, 415
0.069, 975.529, 346.145, 415
0.07, 955.612, 267.243, 415
0.071, 902.936, 250.008, 415
0.072, 853.016, 204.788, 415
0.073, 816.543, 182.37, 415
0.074, 764.47, 168.34, 415
0.075, 696.397, 139.315, 415
0.076, 652.489, 130.035, 415
0.077, 606.138, 114.502, 415
0.078, 576.618, 112.156, 415
0.079, 539.882, 99.7132, 415
0.08, 506.443, 91.1814, 415
0.081, 472.989, 83.3156, 415
0.082, 451.3, 76.7143, 415
0.083, 425.776, 73.0094, 415
0.084, 399.797, 69.151, 415
0.085, 378.783, 61.1553, 415
0.086, 359.953, 57.2317, 415
0.087, 343.657, 55.0965, 415
0.088, 326.925, 49.7342, 415
0.089, 307.025, 46.5542, 415
0.09, 297.377, 44.6443, 415
0.091, 284.763, 42.8698, 415
0.092, 272.305, 41.5148, 415
0.093, 262.129, 38.9712, 415
0.094, 249.669, 36.4493, 415
0.095, 240.696, 34.1808, 415
0.096, 229.883, 32.5141, 415
0.097, 220.858, 28.964, 415
0.098, 212.255, 28.3107, 415
0.099, 205.418, 26.8024, 415
0.1, 199.98, 26.9571, 415
0.101, 191.738, 25.1227, 415
0.102, 184.539, 24.3771, 415
0.103, 179.11, 23.828, 415
0.104, 175.289, 23.5795, 415
0.105, 167.791, 20.4215, 415
0.106, 163.36, 20.371, 415
0.107, 156.958, 19.0269, 415
0.108, 154.397, 19.7492, 415
0.109, 149.342, 18.7958, 415
0.11, 144.513, 18.2689, 415
0.111, 140.157, 17.2403, 415
0.112, 137.609, 17.0543, 415
0.113, 134.03, 15.8597, 415
0.114, 130.204, 15.7475, 415
0.115, 127.068, 15.4665, 415
0.116, 123.643, 15.7743, 415
0.117, 121.264, 15.6626, 415
0.118, 117.087, 13.4048, 415
0.119, 114.446, 13.8481, 415
0.12, 112.678, 13.1054, 415
0.121, 109.599, 13.164, 415
0.122, 106.487, 12.108, 415
0.123, 104.546, 12.6945, 415
0.124, 102.297, 11.9517, 415
0.125, 100.237, 11.7619, 415
0.126, 98.981, 11.7009, 415
0.127, 96.488, 11.4351, 415
0.128, 93.771, 10.2522, 415
0.129, 92.449, 10.7285, 415
0.13, 90.644, 10.4392, 415
0.131, 88.577, 9.73314, 415
0.132, 86.816, 9.84409, 415
0.133, 86.167, 10.0029, 415
0.134, 83.837, 9.33865, 415
0.135, 82.742, 9.05083, 415
0.136, 81.364, 10.108, 415
0.137, 79.412, 8.89158, 415
0.138, 78.23, 9.14008, 415
0.139, 77.547, 9.01376, 415
0.14, 75.847, 8.44924, 415
0.141, 74.735, 8.95504, 415
0.142, 73.303, 8.41434, 415
0.143, 72.268, 8.30326, 415
0.144, 70.928, 8.35768, 415
0.145, 69.373, 7.77637, 415
0.146, 69.103, 8.11495, 415
0.147, 67.509, 7.43881, 415
0.148, 66.613, 7.41021, 415
0.149, 65.034, 6.88541, 415
0, 0, 0, 420
0.001, 0.004, 0.0893532, 420
0.002, 0.045, 0.277444, 420
0.003, 0.158, 0.524439, 420
0.004, 0.361, 0.810357, 420
0.005, 0.659, 0.995349, 420
0.006, 0.992, 1.10179, 420
0.007, 1.439, 1.21667, 420
